mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__tol,param_svm__shrinking,param_svm__kernel,param_svm__gamma,param_svm__decision_function_shape,param_svm__class_weight,param_svm__C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.009975194931030273,0.002880312673869973,0.01422114372253418,0.006377512974446252,0.01,False,rbf,scale,ovr,balanced,0.2,"{'svm__tol': 0.01, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.008440685272216798,0.0013155339397856176,0.0125885009765625,0.002641534250535715,0.1,True,rbf,scale,ovr,balanced,2,"{'svm__tol': 0.1, 'svm__shrinking': True, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.007890748977661132,0.000996674773583528,0.00937647819519043,0.001041436374128779,0.1,False,rbf,scale,ovr,balanced,0.5,"{'svm__tol': 0.1, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0054610252380371095,0.0003454121417947423,0.0089752197265625,0.0005842404622239579,0.0001,False,rbf,scale,ovr,balanced,2,"{'svm__tol': 0.0001, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005543899536132812,0.0008073893078433417,0.008675289154052735,0.0006808391987730895,0.01,True,linear,auto,ovr,balanced,1,"{'svm__tol': 0.01, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005450534820556641,0.000659557796053819,0.009425210952758788,0.0010388156087850998,0.01,True,linear,auto,ovr,balanced,5,"{'svm__tol': 0.01, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.007216167449951172,0.0005448377843835214,0.008441925048828125,0.0002629736392718297,0.0001,False,rbf,scale,ovr,balanced,0.1,"{'svm__tol': 0.0001, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.006078672409057617,0.0006171186525418455,0.009091997146606445,0.0008590289443056559,0.001,True,linear,auto,ovr,balanced,0.1,"{'svm__tol': 0.001, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005712890625,0.0001285804107089666,0.007921218872070312,0.0001773915622238396,0.1,True,linear,auto,ovr,balanced,0.1,"{'svm__tol': 0.1, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.007254314422607422,0.0008074243119422807,0.009882926940917969,0.0009035976328964051,0.01,True,rbf,scale,ovr,balanced,0.1,"{'svm__tol': 0.01, 'svm__shrinking': True, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0051974296569824215,0.00013374042113500182,0.007712125778198242,0.00018183239550510264,0.001,False,rbf,scale,ovr,balanced,0.5,"{'svm__tol': 0.001, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0048960685729980465,0.0005421288000032447,0.008369922637939453,0.0008667254318047677,0.1,True,linear,auto,ovr,balanced,1,"{'svm__tol': 0.1, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0050850391387939455,0.0007037987455876103,0.008013534545898437,0.0012852748883478763,0.001,True,linear,scale,ovr,balanced,0.5,"{'svm__tol': 0.001, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005118227005004883,0.0005571913218831092,0.007829380035400391,0.0010263684222433596,0.01,True,linear,scale,ovr,balanced,0.5,"{'svm__tol': 0.01, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.004736566543579101,0.0001519745629902035,0.0075131416320800785,0.000251833978028441,0.01,True,rbf,auto,ovr,balanced,2,"{'svm__tol': 0.01, 'svm__shrinking': True, 'svm__kernel': 'rbf', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.00860905647277832,0.0002909819983994894,0.009565925598144532,0.0005307852935084729,0.001,False,rbf,auto,ovr,balanced,0.1,"{'svm__tol': 0.001, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0046349048614501955,0.0003139099957104671,0.007918739318847656,0.0006651844448427029,0.01,True,linear,auto,ovr,balanced,2,"{'svm__tol': 0.01, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0051365852355957035,0.00042383736188539523,0.007951927185058594,0.0005140423419477146,0.01,False,linear,scale,ovr,balanced,0.5,"{'svm__tol': 0.01, 'svm__shrinking': False, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005214834213256836,0.00042819627938835337,0.008211278915405273,0.0010409699581527703,0.0001,False,rbf,scale,ovr,balanced,1,"{'svm__tol': 0.0001, 'svm__shrinking': False, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.004889917373657226,0.0003391042931054755,0.007862997055053712,0.00017715725529075693,0.1,False,linear,scale,ovr,balanced,0.5,"{'svm__tol': 0.1, 'svm__shrinking': False, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005402946472167968,0.0006727791869386461,0.008333396911621094,0.00103781251094085,0.0001,True,rbf,scale,ovr,balanced,5,"{'svm__tol': 0.0001, 'svm__shrinking': True, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.00496206283569336,0.00019551658584783925,0.007591772079467774,0.00015283835240132983,0.001,True,rbf,auto,ovr,balanced,2,"{'svm__tol': 0.001, 'svm__shrinking': True, 'svm__kernel': 'rbf', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.004688787460327149,0.0003399715648354981,0.008407688140869141,0.0013449275571553278,0.001,False,linear,auto,ovr,balanced,1,"{'svm__tol': 0.001, 'svm__shrinking': False, 'svm__kernel': 'linear', 'svm__gamma': 'auto', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005066013336181641,0.0005250750691713045,0.008452606201171876,0.0010492193700230707,0.001,True,linear,scale,ovr,balanced,1,"{'svm__tol': 0.001, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 1}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.005410099029541015,0.0004409922600687452,0.007599973678588867,0.00035855721203455936,0.0001,True,linear,scale,ovr,balanced,0.5,"{'svm__tol': 0.0001, 'svm__shrinking': True, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'svm__decision_function_shape': 'ovr', 'svm__class_weight': 'balanced', 'svm__C': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
